Solution Details,About,Mission,Technical Attributes,Community Engagement,Policies & Governance,Additional Information,Funding
001_service_name,056_launch_date,015_mission,079_technology_readiness,042_code_of_conduct_status,027_governance_summary,057_organizational_history,053_shareholders
003_approval_status,014_solution_category,016_key_achievements,018_open_code_repository_status,043_code_of_conduct_url,108_bylaws_status,051_business_form,061_primary_funding_source
008_provider_name,009_service_summary,,019_open_code_repository_url,037_community_engagement_status,049_community_governance_url,951_business_form_other,961_primary_funding_source_other
012_service_logo,,,080_maintenance_status,116_community_engagement_url,035_commitment_to_equity_status,052_nonprofit_status,017_funding_needs
013_location,,,022_technical_user_documentation_status,039_contribution_pathways,036_commitment_to_equity_url,054_staffing_full_time,062_local_currency
010_website,,,023_technical_user_documentation_url,041_contribution_guidelines,044_commitment_to_privacy_status,055_staffing_volunteer,063_financial_date
033_transparent_pricing_status,,,090_product_roadmap_status,040_contribution_opportunities,045_commitment_to_privacy_url,048_community_governance_status,069_annual_expenses
034_transparent_pricing_url,,,091_product_roadmap_url,940_contribution_opportunities_other,029_web_accessibility_status,050_board_structure,068_annual_revenue
004_public_contact,,,088_api_status,038_community_engagement_activities,030_web_accessibility_url,950_board_structure_other,066_investment_income
011_ror_id,,,089_api_url,938_community_engagement_activities_other,031_web_accessibility_applicability,097_board_members,067_other_revenue
109_publication_status,,,020_open_data_statement_status,046_values_frameworks,026_governance_records_status,100_board_level,065_program_revenue
002_creation_date,,,021_open_data_statement_url,107_membership_program_url,028_governance_records_url,900_board_level_other,064_total_contributions
110_publication_date,,,081_programming_language,078_membership_numbers,024_governance_structure_status,058_affiliations,071_total_liabilities
092_last_update,,,981_programming_language_other,099_scoss,025_governance_structure_url,059_founders,070_total_assets
,,,086_content_licensing,,,,114_financial_visibility
,,,986_content_licensing_other,,,,072_financial_reporting_level
,,,084_code_license_name,,,,972_financial_reporting_level_other
,,,984_code_license_name_other,,,,073_financial_documentation
,,,085_code_license_url,,,,074_granting_institutions
,,,104_code_license_status,,,,075_grants_list
,,,094_metadata_standards,,,,
,,,994_metadata_standards_other,,,,
,,,095_pids,,,,
,,,995_pids_other,,,,
,,,096_authentication,,,,
,,,996_authentication_other,,,,
,,,098_security_standards,,,,
,,,998_security_standards_other,,,,
,,,112_preservation_standards,,,,
,,,912_preservation_standards_other,,,,
,,,113_metrics_standards,,,,
,,,913_metrics_standards_other,,,,
,,,076_saas_options,,,,
,,,077_registered_service_providers,,,,
,,,083_integrations,,,,
,,,983_integrations_other,,,,
