code,fe_position,name,be_label,status,fe_visibility,fe_section,fe_label,exported,input,vocab_name,required,description,Notes and change descriptions
109,0,publication_status,Publication,Keep,not visible,000 AUTO,N/A,no,Auto-populated,,N/A,The publication status (visibility) of the entry.,
110,0,publication_date,Published at,Keep,not visible,000 AUTO,N/A,no,Auto-populated,,N/A,The date on which the entry was first made public.,
2,0,creation_date,Created at,Keep,not visible,000 AUTO,N/A,no,Auto-populated,,N/A,The date on which the entry was first created.,
47,0,certifications,Special certifications or statuses,Drop,not visible,000 DROP,N/A,no,Free text,,No,"Publicly available evidence of certification or validation through a recognized process or community group. Examples include B-Corp certification, participation in the Global Sustainability Coalition for Open Science Services (SCOSS), CoreTrustSeal certification, or inclusion in the Digital Public Goods registry.",
87,30,standards,Standards employed,Drop,not visible,000 DROP,N/A,no,Free text,,No,"Standards adhered to in technology and content delivery, such as metadata standards (JATS XML, Dublin Core, Resource Description Framework), serialization (OAI-PMH), information security (ISO/IEC 27001), persistent identifiers (ORCID, ROR, DOIs).","Eliminate this question and replace with a series of questions on metadata standards, information exchange standards, general web standards"
106,0,registered_service_provider_description,Registered service provider description,Drop,not visible,000 DROP,Service Providers,no,Free text,,No,Narrative description of registered service provider(s),
60,0,comparable_tools,Comparable tools or projects,Drop,not visible,000 DROP,N/A,no,Free text,,No,Services that could be considered peers or competitors.,
3,0,approval_status,N/A,Keep,not visible,000 PRIVATE,N/A,no,IOI data mgmt,,N/A,Status of the submission in the approval workflow.,
5,0,first_name,N/A,Keep,not visible,000 PRIVATE,N/A,no,Free text,,Yes,First name of the individual completing the form (and key contact for IOI).,
6,0,last_name,N/A,Keep,not visible,000 PRIVATE,N/A,no,Free text,,Yes,Last name of the individual completing the form (and key contact for IOI).,
7,0,email,N/A,Keep,not visible,000 PRIVATE,N/A,no,Free text,,Yes,Email address of the individual completing the form (and key contact for IOI).,
93,0,confirmation,Confirmation,Keep,not visible,000 PRIVATE,N/A,no,Auto-populated,,Yes,Indication from the submitter that they understand terms and conditions of submitting the form.,
78,0,membership_numbers,Number of members,Keep,not visible,000 RESEARCH,N/A,yes,Integer,,No,Number of organizations and/or individuals actively participating in the membership or sponsorship program,
11,0,ror_id,Research Organization Registry URL,Keep,not visible,000 RESEARCH,N/A,yes,URL,,No,Identifier from Research Organization Registry ID (https://ror.org/).,
50,0,board_structure,Board structure,Keep,not visible,000 RESEARCH,N/A,yes,Controlled multi-select,Board,Yes,Structure of the service's governing board.,
48,0,community_governance_status,Community governance,Keep,not visible,000 RESEARCH,N/A,yes,Controlled multi-select,Gov_stat,Yes,"Public documentation of a community-driven governance structure, including evidence of community representation in governing bodies.",
79,0,technology_readiness,Technology readiness level,Keep,not visible,000 RESEARCH,N/A,yes,Controlled multi-select,Tech_read,Yes,"The service’s readiness for broad adoption, adapted from the framework developed by the Horizon 2020 project.",
82,0,key_technologies,Technology dependencies,Drop,not visible,000 RESEARCH,N/A,no,Free text,,No,The service or tool's technical dependencies.,Drop this question or make clear the distinction between this and the key technologies question
97,0,board_members,Board members,Add,not visible,000 RESEARCH,N/A,yes,URL,,No,Link to a list of the organization's current board members.,Request information on individual board members.
62,0,local_currency,Currency for financial calculations,Add,not visible,000 RESEARCH,N/A,no,Controlled dropdown,https://en.wikipedia.org/wiki/List_of_circulating_currencies,No,Indication of the currency used to report financial information.,Add a controlled list of global currencies so respondents can indicate the currency of their financial calculations
63,0,financial_date,Fiscal year or financial reporting period,Add,not visible,000 RESEARCH,N/A,no,Free text,,No,"The specific period for which financial information is being reported, formatted as ""MM-YYYY to MM-YYYY""",
69,0,annual_expenses,Annual expenses in local currency,Change - input type,not visible,000 RESEARCH,N/A,no,Integer,,No,"The amount of money that the organization spent on its programs, administration, fundraising, and other activities during the year. For US-based organizations, Part IX, line 25 from an IRS Form 990.","Revise from USD to local currency, change variable type to integer"
68,0,annual_revenue,Annual revenue in local currency,Change - input type,not visible,000 RESEARCH,N/A,no,Integer,,No,"The amount of money that the organization received from all sources during the most recent complete fiscal year, such as contributions, grants, program service fees, investment income, etc. For US-nased non-profits, Part VIII, line 12 from an IRS Form 990.","Revise from USD to local currency, change variable type to integer"
66,0,investment_income,Investment income in local currency,Change - input type,not visible,000 RESEARCH,N/A,no,Integer,,No,"The amount of money that the organization received from interest, dividends, rents, royalties, and gains or losses from the sale of investments during the year. For US-based non-profits, Part VIII, lines 3, 4, and 7d from an IRS Form 990.","Revise from USD to local currency, change variable type to integer"
67,0,other_revenue,Other revenue in local currency,Change - input type,not visible,000 RESEARCH,N/A,no,Integer,,No,"The amount of money that the organization received from other sources not included in the above categories during the year. For US-based non-profits, Part VIII, lines 5, 6d, 8c, 9c, 10c, and 11e from an IRS Form 990.","Revise from USD to local currency, change variable type to integer"
65,0,program_revenue,Program revenue in local currency,Change - input type,not visible,000 RESEARCH,N/A,no,Integer,,No,"The amount of money that the organization received from charging fees or selling goods or services related to its mission or programs during the year. For US-based non-profits, Part VIII, line 2g from an IRS Form 990.","Revise from USD to local currency, change variable type to integer"
64,0,total_contributions,Total contributions in local currency,Change - input type,not visible,000 RESEARCH,N/A,no,Integer,,No,"The amount of money that the organization received from donors and grantmakers during the year. For US-based non-profits, Part VIII, line 1h from an IRS Form 990.","Revise from USD to local currency, change variable type to integer"
