seed_identifier,name
1,Annotations system
2,Archive information management system
3,Authoring tool
4,Digital asset management system
5,"Digital library, collection or exhibit platform"
6,Discovery system
7,Federated identity or authentication management
8,Index or directory
9,Informal scholarly communications
10,Media viewer/player
11,Open access or subscription management tool
12,Open access policy information compilation
13,Open scholarly dataset
14,Peer review system
15,Persistent identifier service
16,Preservation system
17,Publishing system
18,Repository service
19,Repository software
20,Research profiling system
21,"Standard, specification, or protocol"
22,Submission system
23,Authoring
24,Authority management system
25,Book publishing software
26,Data repository software
27,Disciplinary repository software
28,Institutional repository software
29,Journal software system
30,Peer review systems
31,Personal information management system
